Cars,Miles per gallon,Displacement,Horsepower,Weight,Gears
Mazda RX4,21,160,110,2.62,4
Mazda RX4 Wag,21,160,110,2.875,4
Datsun 710,22.8,108,93,2.32,4
Hornet 4 Drive,21.4,258,110,3.215,3
Hornet Sportabout,18.7,360,175,3.44,3
Valiant,18.1,225,105,3.46,3
Duster 360,14.3,360,245,3.57,3
Merc 240D,24.4,146.7,62,3.19,4
Merc 230,22.8,140.8,95,3.15,4
Merc 280,19.2,167.6,123,3.44,4
Merc 280C,17.8,167.6,123,3.44,4
Merc 450SE,16.4,275.8,180,4.07,3
Merc 450SL,17.3,275.8,180,3.73,3
Merc 450SLC,15.2,275.8,180,3.78,3
Cadillac Fleetwood,10.4,472,205,5.25,3
Lincoln Continental,10.4,460,215,5.424,3
Chrysler Imperial,14.7,440,230,5.345,3
Fiat 128,32.4,78.7,66,2.2,4
Honda Civic,30.4,75.7,52,1.615,4
Toyota Corolla,33.9,71.1,65,1.835,4
Toyota Corona,21.5,120.1,97,2.465,3
Dodge Challenger,15.5,318,150,3.52,3
AMC Javelin,15.2,304,150,3.435,3
Camaro Z28,13.3,350,245,3.84,3
Pontiac Firebird,19.2,400,175,3.845,3
Fiat X1-9,27.3,79,66,1.935,4
Porsche 914-2,26,120.3,91,2.14,5
Lotus Europa,30.4,95.1,113,1.513,5
Ford Pantera L,15.8,351,264,3.17,5
Ferrari Dino,19.7,145,175,2.77,5
Maserati Bora,15,301,335,3.57,5
Volvo 142E,21.4,121,109,2.78,4
